source,target,weights,sourceID,targetID,,
United States,Australia,30,110,6,,1
United States,Australia,3.5,110,6,,1
United States,Australia,7.5,110,6,,1
United States,Australia,14,110,6,,1
United States,Sri Lanka,54,110,95,,1
China,Thailand,2,22,103,,1
Brazil,Chile,26.4,15,21,,1
Germany,Jordan,0.8,36,51,,1
Unknown supplier(s),Azerbaijan,4,112,8,,1
South Korea,Turkey,5.7,93,105,,1
Israel,Philippines,2.5,47,79,,1
Sweden,Cote d'Ivoire,0.18,97,24,,1
United States,Afghanistan,2,110,0,,1
South Africa,Uganda,0.75,92,107,,1
United States,Brazil,24,110,15,,1
United States,Qatar,165,110,82,,1
Italy,Singapore,5.5,48,90,,1
France,Singapore,10,34,90,,1
Italy,Uruguay,4,48,113,,1
Poland,Ecuador,2.75,80,28,,1
Israel,Poland,9,47,80,,1
United States,Tunisia,1.26,110,104,,1
United Kingdom,Saudi Arabia,45,109,86,,1
United States,Saudi Arabia,32.5,110,86,,1
France,Thailand,15,34,103,,1
Belarus,Cote d'Ivoire,1.28,11,24,,1
South Korea,United Kingdom,266,93,109,,1
United States,UAE,251.2,110,106,,1
United States,Qatar,250,110,82,,1
United States,Saudi Arabia,110,110,86,,1
United States,Saudi Arabia,125,110,86,,1
United States,Saudi Arabia,25,110,86,,1
United States,UAE,60,110,106,,1
France,Georgia,18,34,35,,1
France,Georgia,13,34,35,,1
Brazil,Guyana,0.48,15,39,,1
South Africa,Jordan,3.2,92,51,,1
United States,Jordan,0.8,110,51,,1
Russia,Algeria,186,84,3,,1
France,Egypt,24,34,29,,1
Germany,Hungary,26.4,36,41,,1
United States,Japan,58,110,50,,1
United States,Saudi Arabia,72.5,110,86,,1
United States,South Korea,44.4,110,93,,1
United States,Saudi Arabia,55,110,86,,1
United States,South Korea,110,110,93,,1
Turkey,Oman,1.75,105,74,,1
Turkey,UAE,41,105,106,,1
United States,UAE,4,110,106,,1
United Kingdom,Italy,24,109,48,,1
Italy,Bangladesh,12.5,48,10,,1
France,Spain,92,34,94,,1
UAE,Kenya,2.88,106,53,,1
Israel,Viet Nam,20,47,115,,1
Italy,Greece,1.08,48,37,,1
UAE,Cameroon,0.28,106,18,,1
Turkey,Pakistan,88,105,75,,1
China,Bangladesh,75,22,10,,1
China,Pakistan,57.15,22,75,,1
United Kingdom,Latvia,1.66,109,56,,1
United Kingdom,Australia,10,109,6,,1
Israel,India,135,47,42,,1
China,Myanmar,105,22,67,,1
Italy,Brazil,2.4,48,15,,1
Sweden,Pakistan,12,97,75,,1
United States,Panama,11,110,76,,1
United States,Czechia,0.8,110,26,,1
United States,Brazil,9.6,110,15,,1
United States,Slovakia,3,110,91,,1
Switzerland,Jordan,9.8,98,51,,1
Canada,Jordan,1.2,19,51,,1
Canada,Jordan,1.2,19,51,,1
South Korea,Viet Nam,60,93,115,,1
United States,Argentina,5.6,110,5,,1
United Kingdom,France,12,109,34,,1
Israel,Italy,35,47,48,,1
United States,Canada,38.85,110,19,,1
Israel,Romania,9,47,83,,1
Russia,Equatorial Guinea,6.75,84,30,,1
United States,Finland,7.2,110,33,,1
Denmark,Portugal,16,27,81,,1
United States,Afghanistan,6.3,110,0,,1
United States,Saudi Arabia,30,110,86,,1
France,Egypt,40,34,29,,1
France,India,155,34,42,,1
United States,Japan,200,110,50,,1
France,Qatar,165,34,82,,1
France,Spain,14.5,34,94,,1
Finland,Poland,11.6,33,80,,1
United States,Poland,12,110,80,,1
United States,Poland,5.4,110,80,,1
Sweden,Poland,4.2,97,80,,1
Norway,United States,43.8,73,110,,1
United States,South Korea,4,110,93,,1
Germany,South Korea,9.6,36,93,,1
Germany,South Korea,4,36,93,,1
Spain,NATO**,13,94,68,,1
Germany,Spain,8,36,94,,1
United States,Japan,0.72,110,50,,1
Germany,United Kingdom,8,36,109,,1
France,Tanzania,14.5,34,102,,1
Russia,India,140,84,42,,1
United States,Norway,16.2,110,73,,1
Italy,Bahrain,5,48,9,,1
United States,Jamaica,7.5,110,49,,1
Brazil,Uruguay,7.2,15,113,,1
France,Botswana,2.5,34,14,,1
France,Estonia,3,34,31,,1
